block,token,freq
CoreLang5_Block7_Interop_And_FFI (4),PY_CTYPE,445
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0001,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0001,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0001,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0001,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0001,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0001,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0001,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0001,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0001,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0001,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0001,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0002,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0002,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0002,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0002,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0002,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0002,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0002,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0002,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0002,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0002,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0002,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0003,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0003,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0003,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0003,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0003,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0003,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0003,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0003,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0003,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0003,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0003,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0004,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0004,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0004,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0004,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0004,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0004,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0004,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0004,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0004,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0004,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0004,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0005,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0005,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0005,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0005,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0005,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0005,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0005,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0005,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0005,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0005,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0005,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0006,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0006,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0006,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0006,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0006,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0006,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0006,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0006,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0006,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0006,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0006,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0007,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0007,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0007,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0007,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0007,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0007,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0007,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0007,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0007,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0007,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0007,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0008,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0008,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0008,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0008,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0008,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0008,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0008,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0008,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0008,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0008,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0008,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0009,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0009,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0009,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0009,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0009,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0009,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0009,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0009,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0009,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0009,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0009,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0010,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0010,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0010,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0010,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0010,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0010,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0010,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0010,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0010,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0010,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0010,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0011,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0011,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0011,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0011,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0011,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0011,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0011,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0011,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0011,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0011,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0011,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0012,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0012,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0012,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0012,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0012,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0012,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0012,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0012,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0012,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0012,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0012,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0013,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0013,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0013,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0013,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0013,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0013,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_BITFIELD_STORAGE_BYTES_0013,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_FFI_DLOPEN_FLAGS_MASK_0013,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_STACK_CLEANUP_SIDE_0013,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_HTONS16_0013,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_HRESULT_IS_FAILURE_BIT_0013,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ENDIAN_SWAP32_0014,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_CALLCONV_CDECL_STACK_BYTES_0014,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_VARINT_ULEB128_SIZE_BYTES_0014,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_NETWORK_NTOHL32_0014,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_PROTOBUF_FIELD_TAG_VALUE_0014,3
CoreLang5_Block7_Interop_And_FFI (4),CL5_C7_ALIGN_ROUNDUP_TO_ALIGNMENT_0014,3
CoreLang5_Block6_Concurrency_And_Async (5),TIMER_WHEEL,125
CoreLang5_Block6_Concurrency_And_Async (5),FLOW_CONTROL,125
